traffic,weather,vehicle,area,distance_category,total_orders,avg_delivery_time,median_delivery_time,slow_delivery_rate,avg_distance_km
High,Sandstorms,Scooter,Urban,Short,25,114.36,130.0,4.0,2.58
High,Sandstorms,Van,Metropolitan,Medium,19,113.37,130.0,0.0,6.12
High,Sandstorms,Van,Metropolitan,Short,11,109.36,125.0,18.18,1.81
High,Sandstorms,Van,Other,Medium,2,130.0,130.0,0.0,6.22
High,Sandstorms,Van,Urban,Medium,5,77.4,60.0,0.0,6.18
High,Sandstorms,Van,Urban,Short,7,106.29,125.0,14.29,2.19
High,Stormy,Motorcycle,Metropolitan,Medium,186,144.38,150.0,38.17,6.13
High,Stormy,Motorcycle,Metropolitan,Short,147,145.64,150.0,39.46,2.39
High,Stormy,Motorcycle,Other,Medium,2,82.5,82.5,0.0,6.17
High,Stormy,Motorcycle,Other,Short,1,95.0,95.0,0.0,1.56
High,Stormy,Motorcycle,Semi-Urban,Medium,1,245.0,245.0,100.0,6.05
High,Stormy,Motorcycle,Urban,Medium,49,131.43,135.0,24.49,6.12
High,Stormy,Motorcycle,Urban,Short,43,134.51,140.0,32.56,2.27
High,Stormy,Scooter,Metropolitan,Medium,79,120.33,130.0,16.46,6.15
High,Stormy,Scooter,Metropolitan,Short,88,121.76,130.0,12.5,2.19
High,Stormy,Scooter,Other,Medium,2,155.0,155.0,0.0,6.08
High,Stormy,Scooter,Other,Short,2,31.0,31.0,0.0,3.05
High,Stormy,Scooter,Urban,Medium,30,100.03,105.0,13.33,6.16
High,Stormy,Scooter,Urban,Short,26,89.08,82.5,3.85,2.0
High,Stormy,Van,Metropolitan,Medium,24,134.17,137.5,4.17,6.14
High,Stormy,Van,Metropolitan,Short,19,125.26,135.0,21.05,2.34
High,Stormy,Van,Other,Short,1,125.0,125.0,0.0,3.02
High,Stormy,Van,Urban,Medium,9,96.11,85.0,0.0,6.14
High,Stormy,Van,Urban,Short,4,141.25,147.5,0.0,2.31
High,Sunny,Motorcycle,Metropolitan,Medium,176,136.91,120.0,29.55,6.14
High,Sunny,Motorcycle,Metropolitan,Short,134,134.73,115.0,26.12,2.26
High,Sunny,Motorcycle,Metropolitan,Very Long,3,175.0,140.0,33.33,5359.64
High,Sunny,Motorcycle,Other,Medium,3,118.33,100.0,33.33,6.18
High,Sunny,Motorcycle,Other,Short,5,73.0,65.0,0.0,1.82
High,Sunny,Motorcycle,Semi-Urban,Medium,7,256.43,260.0,100.0,6.21
High,Sunny,Motorcycle,Semi-Urban,Short,2,260.0,260.0,100.0,3.02
High,Sunny,Motorcycle,Urban,Medium,48,114.1,100.0,16.67,6.13
High,Sunny,Motorcycle,Urban,Short,51,91.16,80.0,7.84,2.23
High,Sunny,Scooter,Metropolitan,Medium,90,82.67,85.0,0.0,6.12
High,Sunny,Scooter,Metropolitan,Short,53,84.79,85.0,0.0,2.48
High,Sunny,Scooter,Other,Medium,5,90.0,90.0,0.0,6.21
High,Sunny,Scooter,Other,Short,5,73.0,80.0,0.0,2.46
High,Sunny,Scooter,Urban,Medium,38,69.63,70.0,0.0,6.12
High,Sunny,Scooter,Urban,Short,42,76.67,75.0,0.0,2.34
High,Sunny,Van,Metropolitan,Medium,22,80.23,87.5,0.0,6.13
High,Sunny,Van,Metropolitan,Short,15,92.67,95.0,0.0,2.66
High,Sunny,Van,Other,Short,1,95.0,95.0,0.0,1.54
High,Sunny,Van,Urban,Medium,7,79.29,85.0,0.0,6.08
High,Sunny,Van,Urban,Short,9,70.44,75.0,0.0,2.04
High,Windy,Motorcycle,Metropolitan,Medium,180,138.66,145.0,30.56,6.13
High,Windy,Motorcycle,Metropolitan,Short,141,144.0,150.0,34.75,2.22
High,Windy,Motorcycle,Other,Medium,6,145.83,152.5,50.0,6.08
High,Windy,Motorcycle,Other,Short,1,170.0,170.0,100.0,1.51
High,Windy,Motorcycle,Semi-Urban,Medium,2,245.0,245.0,100.0,6.09
High,Windy,Motorcycle,Urban,Medium,51,131.61,140.0,27.45,6.11
High,Windy,Motorcycle,Urban,Short,33,126.7,125.0,27.27,2.49
High,Windy,Motorcycle,Urban,Very Long,1,135.0,135.0,0.0,5889.66
High,Windy,Scooter,Metropolitan,Medium,92,116.0,127.5,4.35,6.13
High,Windy,Scooter,Metropolitan,Short,84,121.96,132.5,13.1,2.31
High,Windy,Scooter,Other,Medium,4,111.25,112.5,0.0,6.11
High,Windy,Scooter,Other,Short,5,96.0,105.0,20.0,2.44
High,Windy,Scooter,Urban,Medium,35,96.6,90.0,8.57,6.11
High,Windy,Scooter,Urban,Short,22,106.82,97.5,4.55,2.1
High,Windy,Van,Metropolitan,Medium,21,128.14,135.0,19.05,6.16
High,Windy,Van,Metropolitan,Short,17,117.53,130.0,23.53,2.26
High,Windy,Van,Other,Medium,1,100.0,100.0,0.0,6.23
High,Windy,Van,Other,Short,2,97.5,97.5,0.0,3.0
High,Windy,Van,Urban,Medium,11,107.73,110.0,9.09,6.09
High,Windy,Van,Urban,Short,5,89.0,70.0,0.0,1.84
High,Windy,Van,Urban,Very Long,1,27.0,27.0,0.0,4422.3
Jam,Cloudy,Motorcycle,Metropolitan,Long,399,198.96,210.0,87.22,12.13
Jam,Cloudy,Motorcycle,Metropolitan,Medium,286,132.87,135.0,17.83,8.44
Jam,Cloudy,Motorcycle,Metropolitan,Short,118,133.25,140.0,15.25,4.59
Jam,Cloudy,Motorcycle,Metropolitan,Very Long,311,196.98,205.0,87.14,113.19
Jam,Cloudy,Motorcycle,Other,Long,2,190.0,190.0,100.0,12.31
Jam,Cloudy,Motorcycle,Other,Medium,9,137.78,135.0,0.0,8.21
Jam,Cloudy,Motorcycle,Other,Short,4,102.5,115.0,0.0,4.58
Jam,Cloudy,Motorcycle,Semi-Urban,Long,14,234.57,242.5,92.86,12.46
Jam,Cloudy,Motorcycle,Semi-Urban,Very Long,21,238.43,245.0,95.24,17.85
Jam,Cloudy,Motorcycle,Urban,Long,59,196.2,205.0,88.14,12.33
Jam,Cloudy,Motorcycle,Urban,Medium,47,130.55,140.0,6.38,8.48
Jam,Cloudy,Motorcycle,Urban,Short,32,134.16,140.0,18.75,4.59
Jam,Cloudy,Motorcycle,Urban,Very Long,44,204.98,212.5,84.09,174.2
Jam,Cloudy,Scooter,Metropolitan,Long,230,191.31,195.0,87.39,12.15
Jam,Cloudy,Scooter,Metropolitan,Medium,150,142.63,145.0,32.67,8.39
Jam,Cloudy,Scooter,Metropolitan,Short,65,138.0,140.0,27.69,4.59
Jam,Cloudy,Scooter,Metropolitan,Very Long,177,197.11,200.0,90.96,52.41
Jam,Cloudy,Scooter,Other,Long,5,183.0,180.0,100.0,12.14
Jam,Cloudy,Scooter,Other,Medium,5,151.0,130.0,40.0,7.94
Jam,Cloudy,Scooter,Other,Short,4,156.25,155.0,50.0,4.58
Jam,Cloudy,Scooter,Other,Very Long,2,207.5,207.5,100.0,18.54
Jam,Cloudy,Scooter,Semi-Urban,Long,1,240.0,240.0,100.0,12.08
Jam,Cloudy,Scooter,Semi-Urban,Very Long,2,235.0,235.0,100.0,18.65
Jam,Cloudy,Scooter,Urban,Long,37,184.27,190.0,81.08,12.0
Jam,Cloudy,Scooter,Urban,Medium,30,144.5,140.0,33.33,8.21
Jam,Cloudy,Scooter,Urban,Short,14,151.07,152.5,28.57,4.59
Jam,Cloudy,Scooter,Urban,Very Long,31,192.29,190.0,83.87,18.66
Jam,Cloudy,Van,Metropolitan,Long,41,183.22,195.0,80.49,11.97
Jam,Cloudy,Van,Metropolitan,Medium,36,133.36,145.0,22.22,8.53
Jam,Cloudy,Van,Metropolitan,Short,15,145.13,150.0,40.0,4.59
Jam,Cloudy,Van,Metropolitan,Very Long,38,184.76,195.0,84.21,18.95
Jam,Cloudy,Van,Other,Long,3,143.67,185.0,66.67,12.15
Jam,Cloudy,Van,Other,Medium,2,130.0,130.0,0.0,8.57
Jam,Cloudy,Van,Other,Very Long,3,201.67,205.0,66.67,17.96
Jam,Cloudy,Van,Semi-Urban,Long,2,245.0,245.0,100.0,12.36
Jam,Cloudy,Van,Urban,Long,12,191.67,185.0,100.0,11.9
Jam,Cloudy,Van,Urban,Medium,9,145.0,140.0,33.33,8.16
Jam,Cloudy,Van,Urban,Short,2,142.5,142.5,0.0,4.62
Jam,Cloudy,Van,Urban,Very Long,5,195.0,200.0,100.0,17.42
Jam,Fog,Motorcycle,Metropolitan,Long,433,197.25,210.0,87.76,12.26
Jam,Fog,Motorcycle,Metropolitan,Medium,277,134.56,140.0,19.86,8.46
Jam,Fog,Motorcycle,Metropolitan,Short,110,137.38,142.5,23.64,4.6
Jam,Fog,Motorcycle,Metropolitan,Very Long,307,200.15,210.0,89.58,53.13
Jam,Fog,Motorcycle,Other,Long,6,180.83,202.5,83.33,12.84
Jam,Fog,Motorcycle,Other,Medium,5,121.4,145.0,20.0,8.59
Jam,Fog,Motorcycle,Other,Short,2,115.0,115.0,0.0,4.6
Jam,Fog,Motorcycle,Other,Very Long,2,182.5,182.5,100.0,19.98
Jam,Fog,Motorcycle,Semi-Urban,Long,12,236.17,252.5,91.67,12.33
Jam,Fog,Motorcycle,Semi-Urban,Very Long,9,229.11,245.0,88.89,17.5
Jam,Fog,Motorcycle,Urban,Long,72,200.28,210.0,91.67,12.12
Jam,Fog,Motorcycle,Urban,Medium,60,128.33,135.0,8.33,8.39
Jam,Fog,Motorcycle,Urban,Short,27,126.41,130.0,3.7,4.59
Jam,Fog,Motorcycle,Urban,Very Long,48,194.46,207.5,81.25,208.1
Jam,Fog,Scooter,Metropolitan,Long,246,190.72,195.0,84.55,12.32
Jam,Fog,Scooter,Metropolitan,Medium,156,140.65,150.0,34.62,8.39
Jam,Fog,Scooter,Metropolitan,Short,72,135.72,142.5,16.67,4.59
Jam,Fog,Scooter,Metropolitan,Very Long,175,189.55,200.0,88.0,46.92
Jam,Fog,Scooter,Other,Long,6,181.67,177.5,50.0,13.08
Jam,Fog,Scooter,Other,Medium,2,155.0,155.0,50.0,7.65
Jam,Fog,Scooter,Other,Very Long,5,189.0,205.0,80.0,18.35
Jam,Fog,Scooter,Semi-Urban,Long,2,242.5,242.5,100.0,12.52
Jam,Fog,Scooter,Semi-Urban,Very Long,4,233.75,235.0,100.0,18.58
Jam,Fog,Scooter,Urban,Long,44,186.7,195.0,81.82,12.41
Jam,Fog,Scooter,Urban,Medium,34,136.15,135.0,17.65,8.25
Jam,Fog,Scooter,Urban,Short,21,148.57,140.0,33.33,4.59
Jam,Fog,Scooter,Urban,Very Long,27,184.0,195.0,81.48,19.0
Jam,Fog,Van,Metropolitan,Long,69,183.13,195.0,76.81,12.26
Jam,Fog,Van,Metropolitan,Medium,37,142.51,160.0,40.54,8.26
Jam,Fog,Van,Metropolitan,Short,22,148.41,150.0,45.45,4.62
Jam,Fog,Van,Metropolitan,Very Long,51,188.22,190.0,90.2,18.51
Jam,Fog,Van,Semi-Urban,Long,1,245.0,245.0,100.0,10.87
Jam,Fog,Van,Urban,Long,5,190.0,190.0,100.0,12.1
Jam,Fog,Van,Urban,Medium,10,119.1,127.5,30.0,8.15
Jam,Fog,Van,Urban,Short,5,148.0,135.0,20.0,4.66
Jam,Fog,Van,Urban,Very Long,1,210.0,210.0,100.0,20.44
Jam,Sandstorms,Motorcycle,Metropolitan,Long,389,161.78,165.0,51.67,12.29
Jam,Sandstorms,Motorcycle,Metropolitan,Medium,278,141.78,150.0,36.33,8.38
Jam,Sandstorms,Motorcycle,Metropolitan,Short,113,137.19,145.0,31.86,4.58
Jam,Sandstorms,Motorcycle,Metropolitan,Very Long,271,166.07,170.0,54.61,78.0
Jam,Sandstorms,Motorcycle,Other,Long,7,158.57,155.0,42.86,12.41
Jam,Sandstorms,Motorcycle,Other,Medium,14,106.93,97.5,21.43,8.67
Jam,Sandstorms,Motorcycle,Other,Short,4,80.5,82.5,0.0,4.59
Jam,Sandstorms,Motorcycle,Other,Very Long,4,140.0,132.5,25.0,17.8
Jam,Sandstorms,Motorcycle,Semi-Urban,Long,6,256.67,260.0,100.0,12.8
Jam,Sandstorms,Motorcycle,Semi-Urban,Medium,1,230.0,230.0,100.0,7.68
Jam,Sandstorms,Motorcycle,Semi-Urban,Short,1,240.0,240.0,100.0,4.54
Jam,Sandstorms,Motorcycle,Semi-Urban,Very Long,6,227.0,262.5,83.33,18.58
Jam,Sandstorms,Motorcycle,Urban,Long,88,156.36,157.5,45.45,12.34
Jam,Sandstorms,Motorcycle,Urban,Medium,55,115.22,120.0,10.91,8.43
Jam,Sandstorms,Motorcycle,Urban,Short,36,125.89,127.5,22.22,4.59
Jam,Sandstorms,Motorcycle,Urban,Very Long,62,146.92,155.0,38.71,193.99
Jam,Sandstorms,Scooter,Metropolitan,Long,257,140.65,140.0,35.8,12.29
Jam,Sandstorms,Scooter,Metropolitan,Medium,133,120.71,135.0,10.53,8.48
Jam,Sandstorms,Scooter,Metropolitan,Short,67,122.66,135.0,11.94,4.59
Jam,Sandstorms,Scooter,Metropolitan,Very Long,168,134.72,135.0,24.4,211.19
Jam,Sandstorms,Scooter,Other,Long,10,111.2,117.5,0.0,11.84
Jam,Sandstorms,Scooter,Other,Medium,7,100.71,95.0,0.0,8.45
Jam,Sandstorms,Scooter,Other,Short,1,160.0,160.0,0.0,4.61
Jam,Sandstorms,Scooter,Other,Very Long,4,116.25,122.5,0.0,18.96
Jam,Sandstorms,Scooter,Urban,Long,40,119.78,115.0,15.0,12.45
Jam,Sandstorms,Scooter,Urban,Medium,42,113.81,120.0,2.38,8.49
Jam,Sandstorms,Scooter,Urban,Short,26,101.58,110.0,3.85,4.62
Jam,Sandstorms,Scooter,Urban,Very Long,42,126.26,125.0,14.29,162.18
Jam,Sandstorms,Van,Metropolitan,Long,51,136.31,140.0,31.37,12.43
Jam,Sandstorms,Van,Metropolitan,Medium,34,109.06,125.0,2.94,8.49
Jam,Sandstorms,Van,Metropolitan,Short,20,127.75,135.0,10.0,4.59
Jam,Sandstorms,Van,Metropolitan,Very Long,33,143.09,140.0,36.36,18.85
Jam,Sandstorms,Van,Other,Long,3,126.67,125.0,0.0,12.38
Jam,Sandstorms,Van,Other,Medium,1,155.0,155.0,0.0,7.86
Jam,Sandstorms,Van,Other,Very Long,2,100.0,100.0,0.0,18.28
Jam,Sandstorms,Van,Urban,Long,11,120.91,125.0,18.18,12.66
Jam,Sandstorms,Van,Urban,Medium,14,116.07,115.0,0.0,8.46
Jam,Sandstorms,Van,Urban,Short,7,81.29,75.0,0.0,4.62
Jam,Sandstorms,Van,Urban,Very Long,8,114.38,105.0,12.5,19.63
Jam,Stormy,Motorcycle,Metropolitan,Long,399,162.7,165.0,52.38,12.32
Jam,Stormy,Motorcycle,Metropolitan,Medium,229,148.97,150.0,38.86,8.49
Jam,Stormy,Motorcycle,Metropolitan,Short,112,140.76,147.5,34.82,4.59
Jam,Stormy,Motorcycle,Metropolitan,Very Long,268,156.6,160.0,48.13,83.85
Jam,Stormy,Motorcycle,Other,Long,11,106.45,90.0,18.18,12.3
Jam,Stormy,Motorcycle,Other,Medium,7,76.43,55.0,0.0,8.37
Jam,Stormy,Motorcycle,Other,Short,3,108.33,125.0,0.0,4.58
Jam,Stormy,Motorcycle,Other,Very Long,5,79.6,90.0,0.0,19.38
Jam,Stormy,Motorcycle,Semi-Urban,Long,13,238.31,260.0,92.31,12.16
Jam,Stormy,Motorcycle,Semi-Urban,Medium,1,230.0,230.0,100.0,9.22
Jam,Stormy,Motorcycle,Semi-Urban,Short,1,230.0,230.0,100.0,4.53
Jam,Stormy,Motorcycle,Semi-Urban,Very Long,2,240.0,240.0,100.0,18.68
Jam,Stormy,Motorcycle,Urban,Long,82,151.95,155.0,43.9,12.3
Jam,Stormy,Motorcycle,Urban,Medium,53,132.47,130.0,28.3,8.36
Jam,Stormy,Motorcycle,Urban,Short,34,131.29,142.5,32.35,4.59
Jam,Stormy,Motorcycle,Urban,Very Long,52,145.08,132.5,40.38,18.53
Jam,Stormy,Scooter,Metropolitan,Long,228,133.8,135.0,26.75,12.21
Jam,Stormy,Scooter,Metropolitan,Medium,137,122.78,130.0,16.06,8.4
Jam,Stormy,Scooter,Metropolitan,Short,82,116.73,125.0,4.88,4.6
Jam,Stormy,Scooter,Metropolitan,Very Long,157,141.97,145.0,35.03,40.67
Jam,Stormy,Scooter,Other,Long,12,111.83,107.5,16.67,12.22
Jam,Stormy,Scooter,Other,Medium,3,70.67,60.0,0.0,8.3
Jam,Stormy,Scooter,Other,Short,2,60.0,60.0,0.0,4.62
Jam,Stormy,Scooter,Other,Very Long,5,106.0,100.0,0.0,18.89
Jam,Stormy,Scooter,Urban,Long,54,132.0,127.5,25.93,12.46
Jam,Stormy,Scooter,Urban,Medium,39,114.49,130.0,2.56,8.42
Jam,Stormy,Scooter,Urban,Short,17,100.76,125.0,0.0,4.6
Jam,Stormy,Scooter,Urban,Very Long,57,128.19,130.0,26.32,242.1
Jam,Stormy,Van,Metropolitan,Long,59,136.17,135.0,30.51,12.09
Jam,Stormy,Van,Metropolitan,Medium,42,114.43,127.5,7.14,8.46
Jam,Stormy,Van,Metropolitan,Short,13,108.85,120.0,7.69,4.59
Jam,Stormy,Van,Metropolitan,Very Long,36,140.28,140.0,27.78,18.61
Jam,Stormy,Van,Other,Medium,1,170.0,170.0,100.0,8.94
Jam,Stormy,Van,Other,Very Long,1,135.0,135.0,0.0,20.18
Jam,Stormy,Van,Urban,Long,9,125.0,115.0,11.11,12.5
Jam,Stormy,Van,Urban,Medium,9,104.22,130.0,11.11,7.79
Jam,Stormy,Van,Urban,Short,4,103.75,102.5,0.0,4.6
Jam,Stormy,Van,Urban,Very Long,20,131.0,130.0,15.0,18.36
Jam,Sunny,Motorcycle,Metropolitan,Long,356,121.26,120.0,20.79,12.31
Jam,Sunny,Motorcycle,Metropolitan,Medium,233,127.37,110.0,22.75,8.39
Jam,Sunny,Motorcycle,Metropolitan,Short,124,129.41,115.0,23.39,4.6
Jam,Sunny,Motorcycle,Metropolitan,Very Long,212,126.11,125.0,22.64,115.95
Jam,Sunny,Motorcycle,Other,Long,21,99.05,90.0,9.52,12.33
Jam,Sunny,Motorcycle,Other,Medium,9,92.22,80.0,11.11,8.18
Jam,Sunny,Motorcycle,Other,Short,4,73.75,72.5,0.0,4.62
Jam,Sunny,Motorcycle,Other,Very Long,4,112.5,125.0,0.0,16.85
Jam,Sunny,Motorcycle,Semi-Urban,Medium,4,251.25,247.5,100.0,8.81
Jam,Sunny,Motorcycle,Semi-Urban,Short,6,242.5,240.0,100.0,4.58
Jam,Sunny,Motorcycle,Urban,Long,98,113.13,110.0,15.31,12.29
Jam,Sunny,Motorcycle,Urban,Medium,89,103.69,90.0,16.85,8.4
Jam,Sunny,Motorcycle,Urban,Short,40,113.12,97.5,15.0,4.58
Jam,Sunny,Motorcycle,Urban,Very Long,78,105.17,102.5,14.1,47.09
Jam,Sunny,Scooter,Metropolitan,Long,197,103.8,105.0,5.58,12.21
Jam,Sunny,Scooter,Metropolitan,Medium,118,84.14,90.0,0.0,8.38
Jam,Sunny,Scooter,Metropolitan,Short,50,84.22,90.0,0.0,4.59
Jam,Sunny,Scooter,Metropolitan,Very Long,146,98.41,95.0,2.74,99.07
Jam,Sunny,Scooter,Other,Long,6,109.17,107.5,0.0,11.84
Jam,Sunny,Scooter,Other,Medium,6,67.5,60.0,0.0,7.96
Jam,Sunny,Scooter,Other,Short,1,70.0,70.0,0.0,4.54
Jam,Sunny,Scooter,Other,Very Long,8,91.25,97.5,0.0,17.81
Jam,Sunny,Scooter,Urban,Long,66,92.44,95.0,1.52,12.31
Jam,Sunny,Scooter,Urban,Medium,62,75.29,77.5,0.0,8.34
Jam,Sunny,Scooter,Urban,Short,32,73.94,80.0,0.0,4.59
Jam,Sunny,Scooter,Urban,Very Long,59,86.68,95.0,1.69,18.7
Jam,Sunny,Van,Metropolitan,Long,49,104.9,105.0,4.08,12.05
Jam,Sunny,Van,Metropolitan,Medium,42,84.1,87.5,0.0,8.23
Jam,Sunny,Van,Metropolitan,Short,13,86.85,95.0,0.0,4.6
Jam,Sunny,Van,Metropolitan,Very Long,45,97.44,100.0,0.0,18.26
Jam,Sunny,Van,Other,Long,3,73.33,65.0,0.0,13.3
Jam,Sunny,Van,Other,Medium,1,60.0,60.0,0.0,7.86
Jam,Sunny,Van,Other,Very Long,1,85.0,85.0,0.0,17.08
Jam,Sunny,Van,Urban,Long,10,90.4,100.0,0.0,12.74
Jam,Sunny,Van,Urban,Medium,14,78.21,85.0,0.0,8.56
Jam,Sunny,Van,Urban,Short,12,86.67,87.5,0.0,4.59
Jam,Sunny,Van,Urban,Very Long,13,86.38,95.0,0.0,284.16
Jam,Windy,Motorcycle,Metropolitan,Long,395,164.87,175.0,56.46,12.42
Jam,Windy,Motorcycle,Metropolitan,Medium,262,143.52,145.0,35.5,8.32
Jam,Windy,Motorcycle,Metropolitan,Short,120,146.83,150.0,38.33,4.6
Jam,Windy,Motorcycle,Metropolitan,Very Long,293,163.48,165.0,53.24,41.1
Jam,Windy,Motorcycle,Other,Long,4,140.5,137.5,50.0,11.48
Jam,Windy,Motorcycle,Other,Medium,4,101.25,85.0,25.0,8.78
Jam,Windy,Motorcycle,Other,Short,3,160.0,160.0,33.33,4.54
Jam,Windy,Motorcycle,Other,Very Long,9,111.0,90.0,33.33,19.06
Jam,Windy,Motorcycle,Semi-Urban,Long,7,257.86,260.0,100.0,11.95
Jam,Windy,Motorcycle,Semi-Urban,Medium,3,238.33,240.0,100.0,8.77
Jam,Windy,Motorcycle,Semi-Urban,Short,1,230.0,230.0,100.0,4.56
Jam,Windy,Motorcycle,Semi-Urban,Very Long,6,260.0,262.5,100.0,18.74
Jam,Windy,Motorcycle,Urban,Long,95,140.11,140.0,36.84,12.01
Jam,Windy,Motorcycle,Urban,Medium,71,123.41,135.0,25.35,8.5
Jam,Windy,Motorcycle,Urban,Short,29,135.0,130.0,31.03,4.61
Jam,Windy,Motorcycle,Urban,Very Long,57,138.11,140.0,36.84,95.78
Jam,Windy,Scooter,Metropolitan,Long,204,136.77,135.0,30.39,12.18
Jam,Windy,Scooter,Metropolitan,Medium,137,121.95,130.0,13.14,8.42
Jam,Windy,Scooter,Metropolitan,Short,64,120.25,135.0,21.88,4.59
Jam,Windy,Scooter,Metropolitan,Very Long,161,132.21,130.0,24.22,67.63
Jam,Windy,Scooter,Other,Long,7,103.57,105.0,0.0,12.25
Jam,Windy,Scooter,Other,Medium,2,120.0,120.0,0.0,8.52
Jam,Windy,Scooter,Other,Short,2,107.5,107.5,0.0,4.6
Jam,Windy,Scooter,Other,Very Long,10,132.5,130.0,20.0,18.16
Jam,Windy,Scooter,Urban,Long,62,125.31,127.5,16.13,12.48
Jam,Windy,Scooter,Urban,Medium,30,95.3,95.0,0.0,8.39
Jam,Windy,Scooter,Urban,Short,20,103.7,110.0,0.0,4.58
Jam,Windy,Scooter,Urban,Very Long,38,123.79,117.5,23.68,18.84
Jam,Windy,Van,Metropolitan,Long,57,139.58,135.0,28.07,12.08
Jam,Windy,Van,Metropolitan,Medium,44,122.43,130.0,9.09,8.34
Jam,Windy,Van,Metropolitan,Short,16,125.0,147.5,18.75,4.62
Jam,Windy,Van,Metropolitan,Very Long,28,141.14,135.0,32.14,18.29
Jam,Windy,Van,Other,Long,2,147.5,147.5,0.0,10.6
Jam,Windy,Van,Urban,Long,12,118.5,110.0,25.0,11.93
Jam,Windy,Van,Urban,Medium,13,105.85,125.0,7.69,8.53
Jam,Windy,Van,Urban,Short,5,99.0,80.0,20.0,4.61
Jam,Windy,Van,Urban,Very Long,13,115.38,105.0,15.38,19.02
