order_id,agent_age,agent_rating,store_latitude,store_longitude,drop_latitude,drop_longitude,order_date,order_time,pickup_time,weather,traffic,vehicle,area,delivery_time,category,order_hour,time_slot,day_name,day_type,pickup_delay_mins,distance_km,distance_issue_flag,distance_category,slow_delivery_flag,rating_group
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22:35:00,22:50:00,Sandstorms,Low,Motorcycle,Metropolitan,130,Jewelry,22.0,Night,Friday,Weekday,15.0,4.67,0,Short,0,High
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22:35:00,22:40:00,Stormy,Low,Motorcycle,Urban,110,Cosmetics,22.0,Night,Saturday,Weekend,5.0,7.6,0,Medium,0,Good
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23:25:00,23:35:00,Sandstorms,Low,Motorcycle,Urban,105,Jewelry,23.0,Night,Friday,Weekday,10.0,7.72,0,Medium,0,Good
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13:35:00,13:40:00,Cloudy,High,Scooter,Urban,125,Shoes,13.0,Afternoon,Friday,Weekday,5.0,6.18,0,Medium,0,High
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,Stormy,Jam,Scooter,Urban,35,Grocery,21.0,Night,Tuesday,Weekday,10.0,17.3,0,Very Long,0,Low
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22:35:00,22:45:00,Cloudy,Low,Scooter,Metropolitan,150,Sports,22.0,Night,Saturday,Weekend,10.0,19.91,0,Very Long,0,High
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18:55:00,19:10:00,Sunny,Medium,Motorcycle,Metropolitan,110,Jewelry,18.0,Evening,Tuesday,Weekday,15.0,10.72,0,Long,0,High
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14:15:00,14:25:00,Windy,High,Scooter,Urban,50,Toys,14.0,Afternoon,Sunday,Weekend,10.0,6.13,0,Medium,0,High
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11:00:00,11:10:00,Sandstorms,Low,Scooter,Metropolitan,95,Kitchen,11.0,Morning,Wednesday,Weekday,10.0,1.52,0,Short,0,High
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,9:45:00,9:55:00,Sunny,Low,Scooter,Urban,55,Clothing,9.0,Morning,Friday,Weekday,10.0,3.07,0,Short,0,High
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,8:40:00,8:55:00,Stormy,Low,Scooter,Metropolitan,55,Kitchen,8.0,Morning,Monday,Weekday,15.0,3.11,0,Short,0,High
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23:00:00,23:10:00,Fog,Low,Motorcycle,Metropolitan,140,Books,23.0,Night,Friday,Weekday,10.0,10.87,0,Long,0,High
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,Cloudy,Medium,Motorcycle,Metropolitan,33,Grocery,17.0,Evening,Monday,Weekday,5.0,10.87,0,Long,0,Good
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19:45:00,19:50:00,Sandstorms,Jam,Motorcycle,Metropolitan,260,Clothing,19.0,Evening,Monday,Weekday,5.0,13.68,0,Long,1,High
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19:10:00,19:25:00,Stormy,Jam,Scooter,Metropolitan,110,Cosmetics,19.0,Evening,Tuesday,Weekday,15.0,16.83,0,Very Long,0,High
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,Fog,Low,Scooter,Urban,16,Grocery,10.0,Morning,Sunday,Weekend,5.0,3.03,0,Short,0,High
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21:40:00,21:45:00,Sunny,Jam,Van,Metropolitan,55,Apparel,21.0,Night,Thursday,Weekday,5.0,9.18,0,Medium,0,High
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19:00:00,19:15:00,Windy,Medium,Scooter,Metropolitan,125,Snacks,19.0,Evening,Saturday,Weekend,15.0,9.32,0,Medium,0,High
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16:45:00,16:55:00,Cloudy,Medium,Motorcycle,Urban,130,Jewelry,16.0,Afternoon,Wednesday,Weekday,10.0,6.21,0,Medium,0,High
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11:30:00,11:40:00,Sunny,High,Scooter,Metropolitan,90,Shoes,11.0,Morning,Saturday,Weekend,10.0,1.52,0,Short,0,High
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15:10:00,15:15:00,Fog,Medium,Motorcycle,Metropolitan,80,Books,15.0,Afternoon,Sunday,Weekend,5.0,6.04,0,Medium,0,High
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22:45:00,22:55:00,Stormy,Low,Scooter,Metropolitan,115,Cosmetics,22.0,Night,Friday,Weekday,10.0,17.08,0,Very Long,0,High
dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,2022-02-13,22:10:00,22:25:00,Cloudy,Low,Motorcycle,Metropolitan,75,Home,22.0,Night,Sunday,Weekend,15.0,4.72,0,Short,0,High
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20:45:00,20:55:00,Sandstorms,Jam,Motorcycle,Metropolitan,180,Kitchen,20.0,Evening,Monday,Weekday,10.0,12.46,0,Long,1,High
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22:50:00,23:05:00,Cloudy,Low,Motorcycle,Metropolitan,80,Clothing,22.0,Night,Saturday,Weekend,15.0,9.12,0,Medium,0,High
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17:55:00,18:00:00,Sunny,Medium,Motorcycle,Urban,95,Snacks,17.0,Evening,Thursday,Weekday,5.0,14.02,0,Long,0,High
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22:45:00,23:00:00,Sunny,Low,Motorcycle,Metropolitan,135,Jewelry,22.0,Night,Monday,Weekday,15.0,13.39,0,Long,0,High
bbow373480117,39,4.2,0.0,0.0,0.08,0.08,2022-03-02,20:35:00,20:50:00,Fog,Jam,Scooter,Semi-Urban,245,Apparel,20.0,Evening,Wednesday,Weekday,15.0,12.58,0,Long,1,Good
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,9:25:00,9:40:00,Windy,Low,Scooter,Other,100,Shoes,9.0,Morning,Saturday,Weekend,15.0,1.49,0,Short,0,Good
etss702593505,36,4.7,0.0,0.0,0.06,0.06,2022-03-13,20:15:00,20:20:00,Cloudy,Jam,Motorcycle,Metropolitan,150,Sports,20.0,Evening,Sunday,Weekend,5.0,9.44,0,Medium,0,High
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22:25:00,22:35:00,Sandstorms,Low,Scooter,Urban,90,Cosmetics,22.0,Night,Tuesday,Weekday,10.0,11.92,0,Long,0,High
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21:55:00,22:00:00,Sunny,Jam,Scooter,Metropolitan,110,Books,21.0,Night,Wednesday,Weekday,5.0,4.66,0,Short,0,High
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22:40:00,22:55:00,Cloudy,Low,Scooter,Metropolitan,170,Shoes,22.0,Night,Saturday,Weekend,15.0,10.64,0,Long,1,Good
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23:50:00,23:55:00,Sandstorms,Low,Motorcycle,Urban,120,Jewelry,23.0,Night,Thursday,Weekday,5.0,16.82,0,Very Long,0,High
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15:25:00,15:40:00,Fog,Medium,Scooter,Metropolitan,85,Pet Supplies,15.0,Afternoon,Thursday,Weekday,15.0,6.13,0,Medium,0,High
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10:20:00,10:30:00,Sandstorms,Low,Van,Metropolitan,70,Shoes,10.0,Morning,Tuesday,Weekday,10.0,3.0,0,Short,0,High
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20:55:00,21:00:00,Stormy,Jam,Motorcycle,Metropolitan,150,Skincare,20.0,Evening,Tuesday,Weekday,5.0,7.34,0,Medium,0,High
emlt327861941,23,4.8,0.0,0.0,0.02,0.02,2022-03-07,10:40:00,10:50:00,Stormy,Low,Scooter,Metropolitan,15,Grocery,10.0,Morning,Monday,Weekday,10.0,3.15,0,Short,0,High
rufz727804632,35,4.8,0.0,0.0,0.04,0.04,2022-03-28,15:55:00,16:05:00,Fog,Medium,Scooter,Urban,80,Apparel,15.0,Afternoon,Monday,Weekday,10.0,6.29,0,Medium,0,High
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20:10:00,20:15:00,Cloudy,Jam,Scooter,Metropolitan,180,Home,20.0,Evening,Wednesday,Weekday,5.0,13.97,0,Long,1,High
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12:10:00,12:15:00,Sunny,High,Scooter,Urban,90,Sports,12.0,Afternoon,Thursday,Weekday,5.0,6.08,0,Medium,0,High
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15:30:00,15:45:00,Fog,Medium,Scooter,Metropolitan,85,Outdoors,15.0,Afternoon,Tuesday,Weekday,15.0,6.08,0,Medium,0,High
lgee738117860,24,4.8,0.0,0.0,0.08,0.08,2022-03-25,22:10:00,22:15:00,Sandstorms,Low,Motorcycle,Urban,75,Apparel,22.0,Night,Friday,Weekday,5.0,12.58,0,Long,0,High
nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,2022-03-09,10:35:00,10:45:00,Fog,Low,Motorcycle,Metropolitan,85,Books,10.0,Morning,Wednesday,Weekday,10.0,3.15,0,Short,0,High
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23:50:00,0:05:00,Fog,Low,Motorcycle,Metropolitan,50,Shoes,23.0,Night,Saturday,Weekend,,9.22,0,Medium,0,High
bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,2022-02-11,21:10:00,21:25:00,Fog,Jam,Motorcycle,Metropolitan,135,Sports,21.0,Night,Friday,Weekday,15.0,7.86,0,Medium,0,Good
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20:25:00,20:40:00,Sandstorms,Jam,Motorcycle,Metropolitan,185,Pet Supplies,20.0,Evening,Saturday,Weekend,15.0,13.97,0,Long,1,Good
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20:50:00,21:00:00,Fog,Jam,Scooter,Metropolitan,220,Electronics,20.0,Evening,Tuesday,Weekday,10.0,13.97,0,Long,1,High
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12:35:00,12:45:00,Windy,High,Van,Metropolitan,140,Snacks,12.0,Afternoon,Saturday,Weekend,10.0,6.06,0,Medium,0,High
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21:00:00,21:15:00,Cloudy,Jam,Scooter,Metropolitan,210,Apparel,21.0,Night,Thursday,Weekday,15.0,17.08,0,Very Long,1,High
dfit633531471,30,4.8,0.0,0.0,0.11,0.11,2022-02-16,23:40:00,23:55:00,Windy,Low,Motorcycle,Metropolitan,125,Sports,23.0,Night,Wednesday,Weekday,15.0,17.3,0,Very Long,0,High
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18:15:00,18:20:00,Cloudy,Medium,Scooter,Metropolitan,195,Jewelry,18.0,Evening,Sunday,Weekend,5.0,17.07,0,Very Long,1,Good
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,18:20:00,18:25:00,Stormy,Medium,Motorcycle,Urban,100,Electronics,18.0,Evening,Sunday,Weekend,5.0,16.82,0,Very Long,0,High
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11:45:00,11:50:00,Stormy,High,Motorcycle,Metropolitan,155,Kitchen,11.0,Morning,Thursday,Weekday,5.0,2.98,0,Short,0,High
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20:45:00,20:55:00,Stormy,Jam,Motorcycle,Metropolitan,65,Home,20.0,Evening,Wednesday,Weekday,10.0,9.22,0,Medium,0,High
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,21:55:00,22:10:00,Stormy,Jam,Motorcycle,Metropolitan,140,Home,21.0,Night,Thursday,Weekday,15.0,7.66,0,Medium,0,High
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12:45:00,12:50:00,Windy,High,Scooter,Urban,95,Snacks,12.0,Afternoon,Tuesday,Weekday,5.0,6.18,0,Medium,0,High
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23:30:00,23:45:00,Fog,Low,Motorcycle,Urban,210,Kitchen,23.0,Night,Friday,Weekday,15.0,12.21,0,Long,1,High
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10:50:00,10:55:00,Fog,Low,Motorcycle,Metropolitan,115,Electronics,10.0,Morning,Tuesday,Weekday,5.0,1.55,0,Short,0,High
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21:25:00,21:40:00,Stormy,Jam,Motorcycle,Metropolitan,195,Cosmetics,21.0,Night,Wednesday,Weekday,15.0,16.9,0,Very Long,1,Good
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10:10:00,10:20:00,Stormy,Low,Motorcycle,Metropolitan,125,Outdoors,10.0,Morning,Friday,Weekday,10.0,1.51,0,Short,0,High
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,23:00:00,23:05:00,Sandstorms,Low,Scooter,Metropolitan,75,Clothing,23.0,Night,Wednesday,Weekday,5.0,6048.63,1,Very Long,0,High
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,8:40:00,8:55:00,Cloudy,Low,Scooter,Urban,75,Books,8.0,Morning,Friday,Weekday,15.0,3.03,0,Short,0,High
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17:50:00,17:55:00,Sunny,Medium,Van,Metropolitan,75,Home,17.0,Evening,Monday,Weekday,5.0,13.41,0,Long,0,High
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,20:25:00,20:40:00,Stormy,Jam,Motorcycle,Metropolitan,75,Electronics,20.0,Evening,Friday,Weekday,15.0,16.72,0,Very Long,0,High
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22:20:00,22:25:00,Sunny,Low,Motorcycle,Metropolitan,90,Outdoors,22.0,Night,Friday,Weekday,5.0,7.77,0,Medium,0,High
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23:40:00,23:50:00,Sandstorms,Low,Van,Metropolitan,145,Clothing,23.0,Night,Monday,Weekday,10.0,13.77,0,Long,0,High
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23:25:00,23:30:00,Fog,Low,Motorcycle,Metropolitan,100,Snacks,23.0,Night,Friday,Weekday,5.0,7.79,0,Medium,0,High
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12:40:00,12:55:00,Cloudy,High,Scooter,Metropolitan,195,Skincare,12.0,Afternoon,Sunday,Weekend,15.0,6.22,0,Medium,1,Good
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23:30:00,23:45:00,Windy,Low,Motorcycle,Metropolitan,95,Sports,23.0,Night,Friday,Weekday,15.0,16.85,0,Very Long,0,High
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,0:10:00,Cloudy,Low,Scooter,Urban,19,Grocery,23.0,Night,Saturday,Weekend,,4.61,0,Short,0,High
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22:50:00,23:00:00,Windy,Low,Motorcycle,Metropolitan,85,Electronics,22.0,Night,Wednesday,Weekday,10.0,19.88,0,Very Long,0,High
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10:25:00,10:40:00,Stormy,Low,Motorcycle,Urban,75,Books,10.0,Morning,Tuesday,Weekday,15.0,1.56,0,Short,0,High
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,8:45:00,9:00:00,Sandstorms,Low,Motorcycle,Urban,95,Apparel,8.0,Morning,Tuesday,Weekday,15.0,3.03,0,Short,0,Good
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21:25:00,21:40:00,Sandstorms,Jam,Motorcycle,Metropolitan,145,Apparel,21.0,Night,Friday,Weekday,15.0,13.97,0,Long,0,High
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22:35:00,22:40:00,Cloudy,Low,Scooter,Urban,110,Jewelry,22.0,Night,Friday,Weekday,5.0,16.83,0,Very Long,0,High
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20:10:00,20:20:00,Fog,Jam,Scooter,Metropolitan,210,Books,20.0,Evening,Wednesday,Weekday,10.0,20.21,0,Very Long,1,Good
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10:55:00,11:10:00,Sandstorms,Low,Scooter,Urban,60,Sports,10.0,Morning,Tuesday,Weekday,15.0,3.04,0,Short,0,High
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20:35:00,20:45:00,Cloudy,Jam,Motorcycle,Metropolitan,190,Skincare,20.0,Evening,Tuesday,Weekday,10.0,20.25,0,Very Long,1,Good
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00,Sunny,Low,Motorcycle,Metropolitan,115,Outdoors,23.0,Night,Thursday,Weekday,15.0,16.72,0,Very Long,0,High
qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10:35:00,10:50:00,Cloudy,Low,Scooter,Metropolitan,75,Books,10.0,Morning,Friday,Weekday,15.0,2.98,0,Short,0,High
hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23:45:00,23:50:00,Sunny,Low,Motorcycle,Metropolitan,120,Shoes,23.0,Night,Monday,Weekday,5.0,12.16,0,Long,0,High
imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19:55:00,20:00:00,Windy,Jam,Motorcycle,Metropolitan,185,Books,19.0,Evening,Wednesday,Weekday,5.0,16.82,0,Very Long,1,Average
wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22:15:00,22:25:00,Sandstorms,Low,Scooter,Metropolitan,120,Sports,22.0,Night,Tuesday,Weekday,10.0,7.76,0,Medium,0,High
kbdc711046313,31,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,23:10:00,23:15:00,Sunny,Low,Van,Metropolitan,65,Kitchen,23.0,Night,Tuesday,Weekday,5.0,9.06,0,Medium,0,High
alem833315854,20,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,9:15:00,9:30:00,Cloudy,Low,Motorcycle,Other,80,Sports,9.0,Morning,Wednesday,Weekday,15.0,1.55,0,Short,0,High
khjm619520065,36,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,18:25:00,18:35:00,Cloudy,Medium,Motorcycle,Urban,210,Cosmetics,18.0,Evening,Wednesday,Weekday,10.0,12.07,0,Long,1,High
oiay843077855,20,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,22:10:00,22:20:00,Sandstorms,Low,Motorcycle,Metropolitan,85,Toys,22.0,Night,Sunday,Weekend,10.0,13.58,0,Long,0,High
ohhc448549441,24,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,20:50:00,21:05:00,Cloudy,Jam,Motorcycle,Metropolitan,125,Jewelry,20.0,Evening,Sunday,Weekend,15.0,4.47,0,Short,0,High
