Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Pickup_Delay,Distance_km,Hour,Time_Slot,Delay_Flag
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,11-02-2022,23:25,23:35,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,10.0,7.848885271170511,23,Night,False
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,11-02-2022,13:35,13:40,Cloudy,High ,scooter ,Urban ,125,Shoes,5.0,6.2791082169371055,13,Afternoon,False
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,08-03-2022,21:35,21:45,Stormy,Jam ,scooter ,Urban ,35,Grocery,10.0,17.26754759657549,21,Night,False
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,02-04-2022,22:35,22:45,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,10.0,20.407180194047058,22,Night,False
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,08-03-2022,18:55,19:10,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,15.0,10.988439379638436,18,Evening,False
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,03-04-2022,14:15,14:25,Windy,High ,scooter ,Urban ,50,Toys,10.0,6.279108216936966,14,Afternoon,False
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,11:00,11:10,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,10.0,1.5697770542335443,11,Morning,False
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,01-04-2022,09:45,09:55,Sunny,Low ,scooter ,Urban ,55,Clothing,10.0,3.139554108468204,9,Morning,False
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,28-03-2022,08:40,08:55,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,15.0,3.1395541084680647,8,Morning,False
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,18-03-2022,23:00,23:10,Fog,Low ,motorcycle ,Metropolitian ,140,Books,10.0,10.988439379638436,23,Night,False
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25,17:30,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,5.0,10.988439379639551,17,Evening,False
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,04-04-2022,19:45,19:50,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing,5.0,14.127993488107478,19,Evening,True
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,08-03-2022,19:10,19:25,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,15.0,17.2675475965754,19,Evening,False
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,13-02-2022,10:55,11:00,Fog,Low ,scooter ,Urban ,16,Grocery,5.0,3.1395541084690404,10,Morning,False
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,24-03-2022,21:40,21:45,Sunny,Jam ,van,Metropolitian ,55,Apparel,5.0,9.41866232540489,21,Night,False
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,19-03-2022,19:00,19:15,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,15.0,9.41866232540503,19,Evening,False
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,09-03-2022,16:45,16:55,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,10.0,6.2791082169371055,16,Afternoon,False
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,19-03-2022,11:30,11:40,Sunny,High ,scooter ,Metropolitian ,90,Shoes,10.0,1.569777054234381,11,Morning,False
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,03-04-2022,15:10,15:15,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,5.0,6.2791082169358505,15,Afternoon,False
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,25-03-2022,22:45,22:55,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,10.0,17.26754759657554,22,Night,False
dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,13-02-2022,22:10,22:25,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,15.0,4.709331162702407,22,Night,False
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,04-04-2022,20:45,20:55,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,10.0,12.558216433872957,20,Evening,True
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,26-03-2022,22:50,23:05,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,15.0,9.418662325405169,22,Night,False
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,10-03-2022,17:55,18:00,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,5.0,14.127993488107478,17,Evening,False
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45,23:00,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,15.0,14.127993488107478,22,Night,False
bbow373480117,39,4.2,0.0,0.0,0.08,0.08,02-03-2022,20:35,20:50,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,15.0,12.558216433873085,20,Evening,True
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,26-03-2022,09:25,09:40,Windy,Low ,scooter ,Other,100,Shoes,15.0,1.5697770542335443,9,Morning,False
etss702593505,36,4.7,0.0,0.0,0.06,0.06,13-03-2022,20:15,20:20,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,5.0,9.418662325404814,20,Evening,False
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,29-03-2022,22:25,22:35,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,10.0,12.558216433873095,22,Night,False
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,30-03-2022,21:55,22:00,Sunny,Jam ,scooter ,Metropolitian ,110,Books,5.0,4.709331162702445,21,Night,False
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,12-03-2022,22:40,22:55,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,15.0,10.988439379638436,22,Night,True
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,31-03-2022,23:50,23:55,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,5.0,17.2675475965754,23,Night,False
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,17-03-2022,15:25,15:40,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,15.0,6.2791082169358505,15,Afternoon,False
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20,10:30,Sandstorms,Low ,van,Metropolitian ,70,Shoes,10.0,3.1395541084690404,10,Morning,False
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,15-02-2022,20:55,21:00,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,5.0,7.848885271170232,20,Evening,False
emlt327861941,23,4.8,0.0,0.0,0.02,0.02,07-03-2022,10:40,10:50,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,10.0,3.139554108468271,10,Morning,False
rufz727804632,35,4.8,0.0,0.0,0.04,0.04,28-03-2022,15:55,16:05,Fog,Medium ,scooter ,Urban ,80,Apparel,10.0,6.279108216936542,15,Afternoon,False
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,16-03-2022,20:10,20:15,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,5.0,14.127993488107478,20,Evening,True
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,17-03-2022,12:10,12:15,Sunny,High ,scooter ,Urban ,90,Sports,5.0,6.279108216937245,12,Afternoon,False
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,15-03-2022,15:30,15:45,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,15.0,6.279108216936129,15,Afternoon,False
lgee738117860,24,4.8,0.0,0.0,0.08,0.08,25-03-2022,22:10,22:15,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,5.0,12.558216433873085,22,Night,False
nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,09-03-2022,10:35,10:45,Fog,Low ,motorcycle ,Metropolitian ,85,Books,10.0,3.139554108468271,10,Morning,False
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,05-03-2022,23:50,00:05,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,15.0,9.41866232540489,23,Night,False
bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,11-02-2022,21:10,21:25,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,15.0,7.848885271170679,21,Night,False
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,12-03-2022,20:25,20:40,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,15.0,14.127993488107478,20,Evening,True
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,29-03-2022,20:50,21:00,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,10.0,14.127993488107478,20,Evening,True
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,19-03-2022,12:35,12:45,Windy,High ,van,Metropolitian ,140,Snacks,10.0,6.279108216936129,12,Afternoon,False
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,10-03-2022,21:00,21:15,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,15.0,17.26754759657554,21,Night,True
dfit633531471,30,4.8,0.0,0.0,0.11,0.11,16-02-2022,23:40,23:55,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,15.0,17.26754759657549,23,Night,False
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,27-03-2022,18:15,18:20,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,5.0,17.267547596576655,18,Evening,True
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,27-03-2022,18:20,18:25,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,5.0,17.2675475965754,18,Evening,False
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,24-03-2022,11:45,11:50,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,5.0,3.1395541084679253,11,Morning,False
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,09-03-2022,20:45,20:55,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,10.0,9.41866232540489,20,Evening,False
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,03-03-2022,21:55,22:10,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,15.0,7.848885271170511,21,Night,False
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,15-02-2022,12:45,12:50,Windy,High ,scooter ,Urban ,95,Snacks,5.0,6.27910821693599,12,Afternoon,False
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,18-02-2022,23:30,23:45,Fog,Low ,motorcycle ,Urban ,210,Kitchen,15.0,12.558216433873932,23,Night,True
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,01-03-2022,10:50,10:55,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,5.0,1.5697770542345202,10,Morning,False
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,23-03-2022,21:25,21:40,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,15.0,17.267547596576517,21,Night,True
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,01-04-2022,10:10,10:20,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,10.0,1.5697770542335443,10,Morning,False
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,16-02-2022,23:00,23:05,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing,5.0,6038.0282653907225,23,Night,False
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,11-03-2022,08:40,08:55,Cloudy,Low ,scooter ,Urban ,75,Books,15.0,3.1395541084679253,8,Morning,False
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,14-03-2022,17:50,17:55,Sunny,Medium ,van,Metropolitian ,75,Home,5.0,14.127993488107478,17,Evening,False
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,18-03-2022,20:25,20:40,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,15.0,17.2675475965754,20,Evening,False
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,01-04-2022,22:20,22:25,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,5.0,7.848885271170511,22,Night,False
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,04-04-2022,23:40,23:50,Sandstorms,Low ,van,Metropolitian ,145,Clothing,10.0,14.127993488107478,23,Night,False
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,11-03-2022,23:25,23:30,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,5.0,7.848885271170511,23,Night,False
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,13-03-2022,12:40,12:55,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,15.0,6.279108216936966,12,Afternoon,True
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,04-03-2022,23:30,23:45,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,15.0,17.267547596576517,23,Night,False
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,26-03-2022,23:55,00:10,Cloudy,Low ,scooter ,Urban ,19,Grocery,15.0,4.709331162702306,23,Night,False
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,16-03-2022,22:50,23:00,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,10.0,20.407101705043324,22,Night,False
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,01-03-2022,10:25,10:40,Stormy,Low ,motorcycle ,Urban ,75,Books,15.0,1.5697770542345202,10,Morning,False
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,15-03-2022,08:45,09:00,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,15.0,3.1395541084679253,8,Morning,False
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,04-03-2022,21:25,21:40,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,15.0,14.127993488107478,21,Night,False
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,18-03-2022,22:35,22:40,Cloudy,Low ,scooter ,Urban ,110,Jewelry,5.0,17.26754759657568,22,Night,False
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,23-03-2022,20:10,20:20,Fog,Jam ,scooter ,Metropolitian ,210,Books,10.0,20.407101705043466,20,Evening,True
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,15-03-2022,10:55,11:10,Sandstorms,Low ,scooter ,Urban ,60,Sports,15.0,3.1395541084690404,10,Morning,False
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,08-03-2022,20:35,20:45,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare,10.0,20.407101705043466,20,Evening,True
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,10-03-2022,23:20,23:35,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors,15.0,17.2675475965754,23,Night,False
qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,11-02-2022,10:35,10:50,Cloudy,Low ,scooter ,Metropolitian ,75,Books,15.0,3.1395541084679253,10,Morning,False
hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,14-03-2022,23:45,23:50,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes,5.0,12.558216433872817,23,Night,False
imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,16-03-2022,19:55,20:00,Windy,Jam ,motorcycle ,Metropolitian ,185,Books,5.0,17.2675475965754,19,Evening,True
wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,01-03-2022,22:15,22:25,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports,10.0,7.848885271170511,22,Night,False
kbdc711046313,31,4.8,23.359194,85.325447,23.419194,85.385447,01-03-2022,23:10,23:15,Sunny,Low ,van,Metropolitian ,65,Kitchen,5.0,9.418662325405169,23,Night,False
alem833315854,20,4.8,12.297954,76.665169,12.307954,76.675169,30-03-2022,09:15,09:30,Cloudy,Low ,motorcycle ,Other,80,Sports,15.0,1.5697770542334049,9,Morning,False
khjm619520065,36,4.9,23.359407,85.325055,23.439407,85.405055,02-03-2022,18:25,18:35,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics,10.0,12.558216433872817,18,Evening,True
oiay843077855,20,4.9,23.416792,85.316842,23.506792,85.406842,20-03-2022,22:10,22:20,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Toys,10.0,14.127993488107478,22,Night,False
ohhc448549441,24,4.6,26.892312,75.806896,26.922313,75.836896,03-04-2022,20:50,21:05,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Jewelry,15.0,4.709409652209161,20,Evening,False
knul324217390,39,4.2,22.761593,75.886362,22.871593,75.996362,29-03-2022,18:45,18:50,Fog,Medium ,scooter ,Metropolitian ,195,Clothing,5.0,17.2675475965754,18,Evening,True
buux572471968,37,4.8,11.026117,76.944652,11.066117,76.984652,17-03-2022,14:55,15:05,Sunny,High ,scooter ,Metropolitian ,90,Shoes,10.0,6.27910821693599,14,Afternoon,False
ieue797662723,32,4.9,13.064181,80.236442,13.104181,80.276442,17-03-2022,16:50,17:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Books,10.0,6.2791082169371055,16,Afternoon,False
eztk468187811,22,4.5,26.483042,80.317833,26.533042,80.367833,15-02-2022,22:20,22:35,Sandstorms,Low ,scooter ,Metropolitian ,90,Skincare,15.0,7.848885271171348,22,Night,False
zzid436960558,23,4.9,11.000762,76.981876,11.130762,77.111876,18-03-2022,00:00,00:15,Windy,Low ,scooter ,Metropolitian ,90,Clothing,15.0,20.407101705043466,0,Night,False
kllk327072475,33,4.7,23.359033,85.325347,23.469033,85.435347,08-03-2022,21:10,21:20,Fog,Jam ,scooter ,Metropolitian ,245,Apparel,10.0,17.2675475965754,21,Night,True
uurs547552548,23,4.7,22.569358,88.433452,22.599358,88.463452,17-02-2022,23:25,23:35,Sunny,Low ,motorcycle ,Metropolitian ,75,Snacks,10.0,4.709331162702306,23,Night,False
ubwl989345056,27,4.6,12.914264,77.6784,12.994264,77.7584,31-03-2022,23:30,23:35,Sunny,Low ,motorcycle ,Metropolitian ,105,Pet Supplies,5.0,12.558216433872957,23,Night,False
iimu721647260,34,4.7,19.121999,72.908493,19.161999,72.948493,01-03-2022,14:20,14:35,Sunny,High ,scooter ,Metropolitian ,115,Toys,15.0,6.279108216936129,14,Afternoon,False
tfxz025621580,26,5.0,21.157729,72.768726,21.167729,72.778726,03-04-2022,10:15,10:25,Fog,Low ,scooter ,Urban ,55,Sports,10.0,1.5697770542346596,10,Morning,False
kgjb145446786,31,4.6,22.311603,73.165012,22.371603,73.225012,24-03-2022,21:20,21:35,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Snacks,15.0,9.41866232540489,21,Night,False
xrxy085440961,32,4.9,18.536562,73.896485,18.556562,73.916485,07-03-2022,08:50,08:55,Fog,Low ,motorcycle ,Metropolitian ,90,Books,5.0,3.1395541084679253,8,Morning,False
pnzt689957903,27,4.7,22.745536,75.893106,22.765536,75.913106,09-03-2022,09:00,09:05,Cloudy,Low ,motorcycle ,Metropolitian ,70,Shoes,5.0,3.1395541084679253,9,Morning,False
qrng205617369,21,4.9,12.933298,77.614293,13.023298,77.704293,12-03-2022,17:45,18:00,Windy,Medium ,motorcycle ,Metropolitian ,180,Pet Supplies,15.0,14.127993488107478,17,Evening,True
gycd207308146,28,4.8,12.939496,77.625999,12.989496,77.675999,24-03-2022,23:10,23:15,Fog,Low ,motorcycle ,Metropolitian ,90,Kitchen,5.0,7.848885271171627,23,Night,False
wqfy256790455,24,4.9,0.0,0.0,0.04,0.04,30-03-2022,16:35,16:50,Fog,Medium ,scooter ,Urban ,85,Toys,15.0,6.279108216936542,16,Afternoon,False
vgjr167867003,33,4.4,17.426228,78.407495,17.436228,78.417495,05-03-2022,08:30,08:40,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Electronics,10.0,1.5697770542346596,8,Morning,False
jqco336937571,20,4.6,12.934365,77.616155,13.024365,77.706155,18-03-2022,20:35,20:50,Fog,Jam ,motorcycle ,Metropolitian ,220,Home,15.0,14.127993488106362,20,Evening,True
iwkp065421476,31,4.3,11.003669,76.976494,11.063669,77.036494,13-03-2022,23:25,23:40,Windy,Low ,motorcycle ,Metropolitian ,100,Toys,15.0,9.41866232540503,23,Night,False
nwvu459529234,36,5.0,22.311358,73.164798,22.381358,73.234798,31-03-2022,19:55,20:05,Fog,Jam ,motorcycle ,Metropolitian ,175,Shoes,10.0,10.988439379638436,19,Evening,True
jjcl090851660,31,4.2,12.986047,80.218114,13.096047,80.328114,23-03-2022,21:20,21:30,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,10.0,17.26754759657554,21,Night,False
bpbi053158546,39,4.1,17.41233,78.449654,17.47233,78.509654,24-03-2022,21:45,21:50,Stormy,Jam ,scooter ,Metropolitian ,170,Electronics,5.0,9.41866232540489,21,Night,True
